"id","article_id","source","first_property","middle_one","middle_two","second_property","destination","length","relevance_score","rarity_score","localPageRankMean","localHubMean","dbpediaPageRankMean","path_informativeness","path_pattern_informativeness","localPageViewMean"
"10147","130","Bernie_Sanders","R:birthPlace","New_York",,"L:region","Hillary_Clinton","2","0.049769841938500","368800.00000","0.039286789636100","0.020546286957800","566.422766667000000","0.533887874301000","3.496507561470000","38278.000000000000000"
"10148","130","Bernie_Sanders","R:otherParty","Democratic_Party_(United_States)",,"L:party","Hillary_Clinton","2","0.085893978399300","20159.00000","0.125748200303000","0.020546286957800","325.175100000000000","0.171140743946000","2.397895272800000","41910.000000000000000"
"10149","130","Bernie_Sanders","R:birthPlace","New_York",,"L:birthPlace","Donald_Trump","2","0.053098663705800","680612.00000","0.024698894790700","0.019501658553300","537.415500000000000","0.698511229337000","3.496507561470000","58448.666666700000000"
"10150","130","Bernie_Sanders","R:otherParty","Democratic_Party_(United_States)",,"L:party","Donald_Trump","2","0.092331889212500","20159.00000","0.111160305457000","0.019501658553300","296.167833333000000","0.238082201481000","2.397895272800000","62080.666666700000000"
"10151","130","Bernie_Sanders","R:party","Independent_politician",,"L:party","Donald_Trump","2","0.090788373220400","38796.00000","0.028813406706100","0.019501658553300","125.700500000000000","0.228524286069000","2.803360380910000","56669.000000000000000"
"10152","130","Bernie_Sanders","R:otherParty",,,,"Democratic_Party_(United_States)","1","0.065830206474900","1522.00000","0.160549964373000","0.014486321923100","429.460650000000000","0.156529127022000","3.496507561470000","28779.000000000000000"
"10153","130","Bernie_Sanders","R:predecessor","Patty_Murray",,"R:party","Democratic_Party_(United_States)","2","0.047355058422600","26910.50000","0.112984476287000","0.017830632626000","288.691226667000000","0.460939837560000","2.397895272800000","19330.333333300000000"
"10154","130","Bernie_Sanders","R:successor","Peter_Welch",,"R:party","Democratic_Party_(United_States)","2","0.063391731036000","40761.50000","0.112984476287000","0.017830632626000","287.241606667000000","0.484034367657000","2.397895272800000","19225.666666700000000"
"10155","130","Bernie_Sanders","R:associate","Patrick_Leahy",,"R:party","Democratic_Party_(United_States)","2","0.049331008781200","19672.00000","0.112984476287000","0.017830632626000","291.907833333000000","0.600100203520000","3.496507561470000","19520.000000000000000"
"10156","130","Bernie_Sanders","L:successor","Patty_Murray",,"R:party","Democratic_Party_(United_States)","2","0.047355058422600","40761.50000","0.112984476287000","0.017830632626000","288.691226667000000","0.384146277078000","2.803360380910000","19330.333333300000000"
"10157","130","Bernie_Sanders","L:predecessor","Peter_Welch",,"R:party","Democratic_Party_(United_States)","2","0.063391731036000","26910.50000","0.112984476287000","0.017830632626000","287.241606667000000","0.367650184151000","2.397895272800000","19225.666666700000000"
"10158","130","Bernie_Sanders","L:associate","Patrick_Leahy",,"R:party","Democratic_Party_(United_States)","2","0.049331008781200","19672.00000","0.112984476287000","0.017830632626000","291.907833333000000","0.467050445551000","3.496507561470000","19520.000000000000000"
"10159","130","Bernie_Sanders","R:party","Independent_politician",,"L:politicalPartyInLegislature","United_States_Senate","2","0.060455568558200","19624.00000","0.056051193494200","0.026893460511500","331.280766667000000","0.364325278093000","1.887069649030000","15376.000000000000000"
"10160","130","Bernie_Sanders","R:otherParty","Democratic_Party_(United_States)",,"L:politicalPartyOfLeader","United_States_Senate","2","0.057181584164500","1105.00000","0.138398092245000","0.026893460511500","501.748100000000000","0.181573787346000","3.496507561470000","20787.666666700000000"
"10161","130","Bernie_Sanders","R:otherParty","Democratic_Party_(United_States)",,"L:politicalPartyInLegislature","United_States_Senate","2","0.057181584164500","987.00000","0.138398092245000","0.026893460511500","501.748100000000000","0.284504091708000","2.803360380910000","20787.666666700000000"
"10162","130","Hillary_Clinton","R:otherParty","Republican_Party_(United_States)",,"L:party","Donald_Trump","2","0.077057177197400","20159.00000","0.035074479873100","0.020732849613700","321.959400000000000","0.279366267408000","2.397895272800000","70667.000000000000000"
"10163","130","Hillary_Clinton","R:party","Democratic_Party_(United_States)",,"L:party","Donald_Trump","2","0.085137466915000","38796.00000","0.117714287167000","0.020732849613700","330.291066667000000","0.252693818404000","2.803360380910000","71569.666666700000000"
"10164","130","Hillary_Clinton","R:region","New_York",,"L:birthPlace","Donald_Trump","2","0.052289159147500","368800.00000","0.031252876500700","0.020732849613700","571.538733333000000","0.567150313794000","3.496507561470000","67937.666666700000000"
"10165","130","Hillary_Clinton","R:party",,,,"Democratic_Party_(United_States)","1","0.057426137802600","38796.00000","0.170380936938000","0.016333108513700","480.645500000000000","0.185752360869000","2.803360380910000","43012.500000000000000"
"10166","130","Hillary_Clinton","R:president","Barack_Obama",,"R:party","Democratic_Party_(United_States)","2","0.056346441323600","22302.50000","0.119245549454000","0.018553340418600","483.776333333000000","0.702743886572000","3.496507561470000","42163.333333300000000"
